product_id,product_name,category,subcategory,brand,current_price,cost_price,stock_quantity,weight_kg,launch_date,is_active,rating,review_count
PROD000000,TechPro Fragrance,Beauty,Fragrance,ProGear,250.63,146.88,497,14.35,4/16/2020,TRUE,3.7,251
PROD000001,Classic Educational,Books,Educational,FitLife,323.46,96.82,134,9.38,3/25/2020,TRUE,5,414
PROD000002,SmartTech Yoga,Sports,Yoga,Modern,105.91,49.61,259,12.67,12/11/2023,TRUE,4.6,467
PROD000003,Classic Swimming,Sports,Swimming,SmartTech,451.12,149.95,391,10.17,10/15/2019,TRUE,3.7,336
PROD000004,HomeEssentials Pants,Clothing,Pants,BeautyFirst,54.84,23.01,224,3.49,6/27/2024,TRUE,4.4,0
PROD000005,StyleMax Skincare,Beauty,Skincare,ActiveWear,268.96,149.05,296,12.12,1/26/2019,TRUE,4,16
PROD000006,ProGear Makeup,Beauty,Makeup,ComfortPlus,211.22,109.91,212,7.94,9/30/2019,TRUE,4,232
PROD000007,UrbanStyle Speakers,Electronics,Speakers,Elite,240.96,138.37,260,5.77,9/7/2021,TRUE,3.5,446
PROD000008,Elite Makeup,Beauty,Makeup,ActiveWear,208.98,75.48,209,9.74,2/2/2021,TRUE,3.6,201
PROD000009,StyleMax Dresses,Clothing,Dresses,StyleMax,150.31,50.88,104,11.16,9/14/2019,TRUE,3.7,78
PROD000010,Essential Cameras,Electronics,Cameras,UrbanStyle,223.07,74.25,151,5.01,1/17/2022,TRUE,3.5,388
PROD000011,Premium Jackets,Clothing,Jackets,Essential,367,116.94,99,7.56,3/4/2022,TRUE,4.2,427
PROD000012,ProGear Lighting,Home,Lighting,Essential,32.73,10.71,77,14.58,11/20/2023,TRUE,3.8,309
PROD000013,Premium Storage,Home,Storage,ActiveWear,334.47,114.68,396,8.16,6/16/2022,TRUE,3.5,401
PROD000014,Classic Smartwatches,Electronics,Smartwatches,Elite,283.64,87.72,380,10.35,11/23/2022,TRUE,4.9,51
PROD000015,FitLife Lighting,Home,Lighting,UrbanStyle,419.19,142.35,299,9.02,12/24/2022,TRUE,3.6,136
PROD000016,ActiveWear Haircare,Beauty,Haircare,SmartTech,91.77,56.25,144,1.3,1/26/2023,TRUE,4.4,479
PROD000017,BeautyFirst Furniture,Home,Furniture,Premium,189.17,95.35,225,3.25,10/16/2021,TRUE,4.7,303
PROD000018,Classic Running,Sports,Running,SmartTech,300.29,144.7,83,3.44,4/5/2022,TRUE,3.4,133
PROD000019,Elite Furniture,Home,Furniture,ProGear,123.25,52.72,0,3.94,7/1/2019,TRUE,3.2,149
PROD000020,Elite Journals,Books,Journals,Modern,223.82,116.79,387,3.49,9/8/2022,TRUE,5,0
PROD000021,Premium Yoga,Sports,Yoga,Essential,210.15,62.15,361,12.27,3/30/2021,TRUE,3.7,329
PROD000022,ActiveWear Pants,Clothing,Pants,BeautyFirst,75.59,29.79,314,13.51,6/12/2023,TRUE,4.5,118
PROD000023,HomeEssentials Fiction,Books,Fiction,FitLife,81.25,47.74,450,6.92,11/25/2020,TRUE,4.6,175
PROD000024,FitLife Lighting,Home,Lighting,Premium,194.78,105.78,266,8.69,11/11/2021,TRUE,3.3,440
PROD000025,Deluxe Dresses,Clothing,Dresses,Deluxe,426.29,140.8,233,1.14,1/12/2019,TRUE,3.9,43
PROD000026,ComfortPlus Lighting,Home,Lighting,FitLife,21.56,14.37,355,0.8,5/25/2019,TRUE,3.1,0
PROD000027,ComfortPlus Tools,Beauty,Tools,StyleMax,210.6,141.91,87,3.42,4/16/2024,FALSE,4,413
PROD000028,ComfortPlus Cycling,Sports,Cycling,Classic,232.38,68.9,228,10.08,3/23/2021,TRUE,4.3,48
